"","Y","Treatment","Pasture","CPNM","Sim.Type","observed","uncertainty","simulated"
"1",2014,"CARM","10S","CSAG","Spatial Variability",299.81,78.69,243.37
"2",2014,"CARM","10S","CSAG","No Variability",299.81,78.69,511.73
"3",2014,"CARM","10S","CSPG","No Variability",124.76,95.02,311.51
"4",2014,"CARM","10S","CSPG","Spatial Variability",124.76,95.02,308.16
"5",2014,"CARM","10S","FORB","No Variability",499.95,64.55,283.65
"6",2014,"CARM","10S","FORB","Spatial Variability",499.95,64.55,216.7
"7",2014,"CARM","10S","WSPG","No Variability",593.13,32.12,473.92
"8",2014,"CARM","10S","WSPG","Spatial Variability",593.13,32.12,472.54
"9",2014,"CARM","17S","CSAG","Spatial Variability",117.44,148.72,97.27
"10",2014,"CARM","17S","CSAG","No Variability",117.44,148.72,86.83
"11",2014,"CARM","17S","CSPG","No Variability",760.92,100.32,652.78
"12",2014,"CARM","17S","CSPG","Spatial Variability",760.92,100.32,810.36
"13",2014,"CARM","17S","FORB","Spatial Variability",91.2,100.77,129.87
"14",2014,"CARM","17S","FORB","No Variability",91.2,100.77,66.47
"15",2014,"CARM","17S","WSPG","No Variability",573.72,57.57,320.21
"16",2014,"CARM","17S","WSPG","Spatial Variability",573.72,57.57,330.54
"17",2014,"CARM","18S","CSAG","Spatial Variability",53.08,94.31,15.48
"18",2014,"CARM","18S","CSAG","No Variability",53.08,94.31,23.29
"19",2014,"CARM","18S","CSPG","No Variability",1239.4,40.27,1311.85
"20",2014,"CARM","18S","CSPG","Spatial Variability",1239.4,40.27,1513.32
"21",2014,"CARM","18S","FORB","Spatial Variability",137.04,131.28,172.44
"22",2014,"CARM","18S","FORB","No Variability",137.04,131.28,61.61
"23",2014,"CARM","18S","WSPG","No Variability",484.31,27.13,254.64
"24",2014,"CARM","18S","WSPG","Spatial Variability",484.31,27.13,268.36
"25",2014,"CARM","20NW","CSAG","Spatial Variability",97.03,124.67,160.74
"26",2014,"CARM","20NW","CSAG","No Variability",97.03,124.67,118.82
"27",2014,"CARM","20NW","CSPG","Spatial Variability",913.57,85.3,742.51
"28",2014,"CARM","20NW","CSPG","No Variability",913.57,85.3,1241.32
"29",2014,"CARM","20NW","FORB","Spatial Variability",108.47,59.45,378.14
"30",2014,"CARM","20NW","FORB","No Variability",108.47,59.45,226.63
"31",2014,"CARM","20NW","WSPG","Spatial Variability",532.59,52.86,304.13
"32",2014,"CARM","20NW","WSPG","No Variability",532.59,52.86,349.43
"33",2014,"CARM","21N","CSAG","Spatial Variability",55.3,141.52,87.68
"34",2014,"CARM","21N","CSAG","No Variability",55.3,141.52,121.74
"35",2014,"CARM","21N","CSPG","No Variability",404.12,92.04,666.2
"36",2014,"CARM","21N","CSPG","Spatial Variability",404.12,92.04,320.92
"37",2014,"CARM","21N","FORB","No Variability",131.96,11.97,408.71
"38",2014,"CARM","21N","FORB","Spatial Variability",131.96,11.97,365.43
"39",2014,"CARM","21N","WSPG","No Variability",548.25,16.87,652.95
"40",2014,"CARM","21N","WSPG","Spatial Variability",548.25,16.87,437.68
"41",2014,"CARM","25NW","CSAG","No Variability",202.9,38.45,524.13
"42",2014,"CARM","25NW","CSAG","Spatial Variability",202.9,38.45,196.64
"43",2014,"CARM","25NW","CSPG","No Variability",86.21,100.31,440.93
"44",2014,"CARM","25NW","CSPG","Spatial Variability",86.21,100.31,387.11
"45",2014,"CARM","25NW","FORB","Spatial Variability",91.96,60.85,255.42
"46",2014,"CARM","25NW","FORB","No Variability",91.96,60.85,216.31
"47",2014,"CARM","25NW","WSPG","No Variability",385.89,47.86,509.04
"48",2014,"CARM","25NW","WSPG","Spatial Variability",385.89,47.86,391.18
"49",2014,"CARM","26W","CSAG","Spatial Variability",491.64,21.42,900.28
"50",2014,"CARM","26W","CSAG","No Variability",491.64,21.42,1593.08
"51",2014,"CARM","26W","CSPG","No Variability",62.4,40.4,294.63
"52",2014,"CARM","26W","CSPG","Spatial Variability",62.4,40.4,236.91
"53",2014,"CARM","26W","FORB","No Variability",392.04,90.49,375.59
"54",2014,"CARM","26W","FORB","Spatial Variability",392.04,90.49,299.42
"55",2014,"CARM","26W","WSPG","Spatial Variability",405.16,36.83,382.27
"56",2014,"CARM","26W","WSPG","No Variability",405.16,36.83,440.62
"57",2014,"CARM","31W","CSAG","No Variability",174.95,117.56,97.31
"58",2014,"CARM","31W","CSAG","Spatial Variability",174.95,117.56,106.72
"59",2014,"CARM","31W","CSPG","No Variability",102.19,138.76,236.66
"60",2014,"CARM","31W","CSPG","Spatial Variability",102.19,138.76,696.2
"61",2014,"CARM","31W","FORB","Spatial Variability",103.58,56.48,349.03
"62",2014,"CARM","31W","FORB","No Variability",103.58,56.48,187.57
"63",2014,"CARM","31W","WSPG","No Variability",306.9,36.38,322.27
"64",2014,"CARM","31W","WSPG","Spatial Variability",306.9,36.38,435.09
"65",2014,"CARM","7SE","CSAG","Spatial Variability",141.79,70.25,40.51
"66",2014,"CARM","7SE","CSAG","No Variability",141.79,70.25,42.46
"67",2014,"CARM","7SE","CSPG","Spatial Variability",389.36,84.87,682.39
"68",2014,"CARM","7SE","CSPG","No Variability",389.36,84.87,519.15
"69",2014,"CARM","7SE","FORB","Spatial Variability",89.38,100.64,180.09
"70",2014,"CARM","7SE","FORB","No Variability",89.38,100.64,53.83
"71",2014,"CARM","7SE","WSPG","No Variability",759.24,25.61,207.95
"72",2014,"CARM","7SE","WSPG","Spatial Variability",759.24,25.61,282.88
"73",2014,"CARM","8E","CSAG","Spatial Variability",81.1,115.58,54.66
"74",2014,"CARM","8E","CSAG","No Variability",81.1,115.58,28.01
"75",2014,"CARM","8E","CSPG","No Variability",267.18,60.29,311.1
"76",2014,"CARM","8E","CSPG","Spatial Variability",267.18,60.29,411.22
"77",2014,"CARM","8E","FORB","No Variability",122.57,139.98,68.12
"78",2014,"CARM","8E","FORB","Spatial Variability",122.57,139.98,143.9
"79",2014,"CARM","8E","WSPG","Spatial Variability",662.79,21.86,470.53
"80",2014,"CARM","8E","WSPG","No Variability",662.79,21.86,459.63
"81",2014,"TRM","15E","CSAG","No Variability",316.66,58.27,16.2
"82",2014,"TRM","15E","CSAG","Spatial Variability",316.66,58.27,562.32
"83",2014,"TRM","15E","CSPG","No Variability",34.92,88.53,123.31
"84",2014,"TRM","15E","CSPG","Spatial Variability",34.92,88.53,283.96
"85",2014,"TRM","15E","FORB","Spatial Variability",136.5,75.38,325.74
"86",2014,"TRM","15E","FORB","No Variability",136.5,75.38,248.62
"87",2014,"TRM","15E","WSPG","No Variability",519.7,45.76,426.56
"88",2014,"TRM","15E","WSPG","Spatial Variability",519.7,45.76,472.3
"89",2014,"TRM","17N","CSAG","Spatial Variability",181.17,80.19,97.39
"90",2014,"TRM","17N","CSAG","No Variability",181.17,80.19,109.97
"91",2014,"TRM","17N","CSPG","No Variability",749.04,85.51,541.1
"92",2014,"TRM","17N","CSPG","Spatial Variability",749.04,85.51,888.29
"93",2014,"TRM","17N","FORB","Spatial Variability",74.88,99.26,157.78
"94",2014,"TRM","17N","FORB","No Variability",74.88,99.26,61.79
"95",2014,"TRM","17N","WSPG","No Variability",690.91,37.22,308.59
"96",2014,"TRM","17N","WSPG","Spatial Variability",690.91,37.22,376.03
"97",2014,"TRM","19N","CSAG","No Variability",49.68,83.84,23.49
"98",2014,"TRM","19N","CSAG","Spatial Variability",49.68,83.84,364.65
"99",2014,"TRM","19N","CSPG","No Variability",731.81,57.6,1165.53
"100",2014,"TRM","19N","CSPG","Spatial Variability",731.81,57.6,910.34
"101",2014,"TRM","19N","FORB","Spatial Variability",200.88,118.99,226.48
"102",2014,"TRM","19N","FORB","No Variability",200.88,118.99,114.86
"103",2014,"TRM","19N","WSPG","No Variability",555.35,34.96,295
"104",2014,"TRM","19N","WSPG","Spatial Variability",555.35,34.96,322.42
"105",2014,"TRM","20SE","CSAG","Spatial Variability",134.46,111.68,32.43
"106",2014,"TRM","20SE","CSAG","No Variability",134.46,111.68,101.53
"107",2014,"TRM","20SE","CSPG","No Variability",1034.59,72.64,1666.83
"108",2014,"TRM","20SE","CSPG","Spatial Variability",1034.59,72.64,1165.41
"109",2014,"TRM","20SE","FORB","Spatial Variability",45.79,71.97,66.77
"110",2014,"TRM","20SE","FORB","No Variability",45.79,71.97,24.64
"111",2014,"TRM","20SE","WSPG","No Variability",729.95,54.49,359.76
"112",2014,"TRM","20SE","WSPG","Spatial Variability",729.95,54.49,366.4
"113",2014,"TRM","24W","CSAG","Spatial Variability",259.83,16.86,244.97
"114",2014,"TRM","24W","CSAG","No Variability",259.83,16.86,822.62
"115",2014,"TRM","24W","CSPG","No Variability",109.02,81.54,196.16
"116",2014,"TRM","24W","CSPG","Spatial Variability",109.02,81.54,332.91
"117",2014,"TRM","24W","FORB","No Variability",59.94,66.13,94.62
"118",2014,"TRM","24W","FORB","Spatial Variability",59.94,66.13,308.42
"119",2014,"TRM","24W","WSPG","No Variability",461.67,22.63,630.4
"120",2014,"TRM","24W","WSPG","Spatial Variability",461.67,22.63,466.95
"121",2014,"TRM","25SE","CSAG","Spatial Variability",276.06,35.83,338.91
"122",2014,"TRM","25SE","CSAG","No Variability",276.06,35.83,276.03
"123",2014,"TRM","25SE","CSPG","Spatial Variability",58.02,87.54,435.62
"124",2014,"TRM","25SE","CSPG","No Variability",58.02,87.54,126.6
"125",2014,"TRM","25SE","FORB","Spatial Variability",214,28.42,127.13
"126",2014,"TRM","25SE","FORB","No Variability",214,28.42,50.46
"127",2014,"TRM","25SE","WSPG","Spatial Variability",675.4,30.29,460.87
"128",2014,"TRM","25SE","WSPG","No Variability",675.4,30.29,594.81
"129",2014,"TRM","26E","CSAG","Spatial Variability",402.94,25.41,237.23
"130",2014,"TRM","26E","CSAG","No Variability",402.94,25.41,1447.66
"131",2014,"TRM","26E","CSPG","No Variability",96.4,82.2,173.24
"132",2014,"TRM","26E","CSPG","Spatial Variability",96.4,82.2,181.84
"133",2014,"TRM","26E","FORB","No Variability",192.3,73.89,210.92
"134",2014,"TRM","26E","FORB","Spatial Variability",192.3,73.89,93.14
"135",2014,"TRM","26E","WSPG","No Variability",258.54,29.1,462.05
"136",2014,"TRM","26E","WSPG","Spatial Variability",258.54,29.1,325.57
"137",2014,"TRM","31E","CSAG","Spatial Variability",41.74,86.08,516.98
"138",2014,"TRM","31E","CSAG","No Variability",41.74,86.08,49.96
"139",2014,"TRM","31E","CSPG","No Variability",145.31,98.62,170.8
"140",2014,"TRM","31E","CSPG","Spatial Variability",145.31,98.62,379.54
"141",2014,"TRM","31E","FORB","No Variability",213.23,58.5,67.67
"142",2014,"TRM","31E","FORB","Spatial Variability",213.23,58.5,296.12
"143",2014,"TRM","31E","WSPG","No Variability",483.23,13.67,248.31
"144",2014,"TRM","31E","WSPG","Spatial Variability",483.23,13.67,392.81
"145",2014,"TRM","5E","CSAG","Spatial Variability",88.97,115.73,26.57
"146",2014,"TRM","5E","CSAG","No Variability",88.97,115.73,28.03
"147",2014,"TRM","5E","CSPG","Spatial Variability",400.82,64.71,618.32
"148",2014,"TRM","5E","CSPG","No Variability",400.82,64.71,532.72
"149",2014,"TRM","5E","FORB","Spatial Variability",72.89,99.34,226.68
"150",2014,"TRM","5E","FORB","No Variability",72.89,99.34,72.58
"151",2014,"TRM","5E","WSPG","No Variability",530.56,29.28,338.78
"152",2014,"TRM","5E","WSPG","Spatial Variability",530.56,29.28,380.66
"153",2014,"TRM","7NW","CSAG","Spatial Variability",143.45,121.72,189.03
"154",2014,"TRM","7NW","CSAG","No Variability",143.45,121.72,89.95
"155",2014,"TRM","7NW","CSPG","No Variability",401.11,63.46,420.97
"156",2014,"TRM","7NW","CSPG","Spatial Variability",401.11,63.46,432.7
"157",2014,"TRM","7NW","FORB","No Variability",122.53,57.76,74.04
"158",2014,"TRM","7NW","FORB","Spatial Variability",122.53,57.76,254.86
"159",2014,"TRM","7NW","WSPG","No Variability",682.52,34.26,332.15
"160",2014,"TRM","7NW","WSPG","Spatial Variability",682.52,34.26,408.42
"161",2015,"CARM","10S","CSAG","No Variability",87.96,82.68,12.41
"162",2015,"CARM","10S","CSAG","Spatial Variability",87.96,82.68,10.25
"163",2015,"CARM","10S","CSPG","No Variability",240.88,77.28,304.94
"164",2015,"CARM","10S","CSPG","Spatial Variability",240.88,77.28,288.7
"165",2015,"CARM","10S","FORB","No Variability",444.11,109.75,189.07
"166",2015,"CARM","10S","FORB","Spatial Variability",444.11,109.75,197.95
"167",2015,"CARM","10S","WSPG","No Variability",840.53,37.42,475.5
"168",2015,"CARM","10S","WSPG","Spatial Variability",840.53,37.42,460.22
"169",2015,"CARM","17S","CSAG","Spatial Variability",31.08,94.07,34.73
"170",2015,"CARM","17S","CSAG","No Variability",31.08,94.07,27.13
"171",2015,"CARM","17S","CSPG","No Variability",718.36,98.67,391.79
"172",2015,"CARM","17S","CSPG","Spatial Variability",718.36,98.67,465.72
"173",2015,"CARM","17S","FORB","No Variability",51.51,23.65,58.59
"174",2015,"CARM","17S","FORB","Spatial Variability",51.51,23.65,62.02
"175",2015,"CARM","17S","WSPG","Spatial Variability",603.92,55.68,103.76
"176",2015,"CARM","17S","WSPG","No Variability",603.92,55.68,75.09
"177",2015,"CARM","18S","CSAG","No Variability",12.48,200,0.39
"178",2015,"CARM","18S","CSAG","Spatial Variability",12.48,200,0.24
"179",2015,"CARM","18S","CSPG","Spatial Variability",629.45,21.23,914.82
"180",2015,"CARM","18S","CSPG","No Variability",629.45,21.23,898.29
"181",2015,"CARM","18S","FORB","No Variability",349.93,92.58,123.91
"182",2015,"CARM","18S","FORB","Spatial Variability",349.93,92.58,220.75
"183",2015,"CARM","18S","WSPG","No Variability",429.11,41.77,234.14
"184",2015,"CARM","18S","WSPG","Spatial Variability",429.11,41.77,267.99
"185",2015,"CARM","20NW","CSAG","Spatial Variability",34.35,155.68,5.45
"186",2015,"CARM","20NW","CSAG","No Variability",34.35,155.68,2.99
"187",2015,"CARM","20NW","CSPG","No Variability",731.27,57.59,1411.29
"188",2015,"CARM","20NW","CSPG","Spatial Variability",731.27,57.59,941.93
"189",2015,"CARM","20NW","FORB","No Variability",151.1,91.94,219.68
"190",2015,"CARM","20NW","FORB","Spatial Variability",151.1,91.94,276.7
"191",2015,"CARM","20NW","WSPG","Spatial Variability",669.34,46.03,304.96
"192",2015,"CARM","20NW","WSPG","No Variability",669.34,46.03,425.45
"193",2015,"CARM","21N","CSAG","Spatial Variability",1.85,103.77,4.78
"194",2015,"CARM","21N","CSAG","No Variability",1.85,103.77,0.33
"195",2015,"CARM","21N","CSPG","No Variability",153.01,75.48,689.56
"196",2015,"CARM","21N","CSPG","Spatial Variability",153.01,75.48,303.51
"197",2015,"CARM","21N","FORB","No Variability",292.88,91.88,387.96
"198",2015,"CARM","21N","FORB","Spatial Variability",292.88,91.88,295.38
"199",2015,"CARM","21N","WSPG","No Variability",695.65,24.53,644.91
"200",2015,"CARM","21N","WSPG","Spatial Variability",695.65,24.53,473.37
"201",2015,"CARM","25NW","CSAG","No Variability",99.97,91.57,17.68
"202",2015,"CARM","25NW","CSAG","Spatial Variability",99.97,91.57,6.7
"203",2015,"CARM","25NW","CSPG","No Variability",474.35,97.87,482.41
"204",2015,"CARM","25NW","CSPG","Spatial Variability",474.35,97.87,201.87
"205",2015,"CARM","25NW","FORB","Spatial Variability",164.28,64.32,148.61
"206",2015,"CARM","25NW","FORB","No Variability",164.28,64.32,224.31
"207",2015,"CARM","25NW","WSPG","No Variability",867.37,15.37,532.57
"208",2015,"CARM","25NW","WSPG","Spatial Variability",867.37,15.37,348.46
"209",2015,"CARM","26W","CSAG","Spatial Variability",52.34,64.06,28.37
"210",2015,"CARM","26W","CSAG","No Variability",52.34,64.06,60.98
"211",2015,"CARM","26W","CSPG","No Variability",151.37,37.68,319.63
"212",2015,"CARM","26W","CSPG","Spatial Variability",151.37,37.68,246.06
"213",2015,"CARM","26W","FORB","No Variability",1139.73,17.02,414.53
"214",2015,"CARM","26W","FORB","Spatial Variability",1139.73,17.02,390.46
"215",2015,"CARM","26W","WSPG","No Variability",264.39,33.43,488.99
"216",2015,"CARM","26W","WSPG","Spatial Variability",264.39,33.43,368.07
"217",2015,"CARM","31W","CSAG","No Variability",54.69,79.66,11.73
"218",2015,"CARM","31W","CSAG","Spatial Variability",54.69,79.66,15.79
"219",2015,"CARM","31W","CSPG","No Variability",601.57,103.54,212.94
"220",2015,"CARM","31W","CSPG","Spatial Variability",601.57,103.54,387.88
"221",2015,"CARM","31W","FORB","Spatial Variability",169.53,54.67,256.19
"222",2015,"CARM","31W","FORB","No Variability",169.53,54.67,146.77
"223",2015,"CARM","31W","WSPG","No Variability",1010.43,51.21,342.12
"224",2015,"CARM","31W","WSPG","Spatial Variability",1010.43,51.21,451.16
"225",2015,"CARM","7SE","CSAG","Spatial Variability",47.65,81.86,8.99
"226",2015,"CARM","7SE","CSAG","No Variability",47.65,81.86,8.59
"227",2015,"CARM","7SE","CSPG","Spatial Variability",569.18,65.4,529.7
"228",2015,"CARM","7SE","CSPG","No Variability",569.18,65.4,484.48
"229",2015,"CARM","7SE","FORB","No Variability",74.65,125.67,79.22
"230",2015,"CARM","7SE","FORB","Spatial Variability",74.65,125.67,254.27
"231",2015,"CARM","7SE","WSPG","No Variability",611.68,29.15,386.23
"232",2015,"CARM","7SE","WSPG","Spatial Variability",611.68,29.15,380.38
"233",2015,"CARM","8E","CSAG","Spatial Variability",9.75,184.62,4.63
"234",2015,"CARM","8E","CSAG","No Variability",9.75,184.62,0.33
"235",2015,"CARM","8E","CSPG","No Variability",342.96,52.26,302.38
"236",2015,"CARM","8E","CSPG","Spatial Variability",342.96,52.26,271.76
"237",2015,"CARM","8E","FORB","Spatial Variability",102.83,76.02,121.33
"238",2015,"CARM","8E","FORB","No Variability",102.83,76.02,105.98
"239",2015,"CARM","8E","WSPG","No Variability",611.72,47.72,479.66
"240",2015,"CARM","8E","WSPG","Spatial Variability",611.72,47.72,391.13
"241",2015,"TRM","15E","CSAG","No Variability",92.06,45.4,4.05
"242",2015,"TRM","15E","CSAG","Spatial Variability",92.06,45.4,4.02
"243",2015,"TRM","15E","CSPG","Spatial Variability",74.88,41.39,253.11
"244",2015,"TRM","15E","CSPG","No Variability",74.88,41.39,107.64
"245",2015,"TRM","15E","FORB","Spatial Variability",91.16,44.1,222.01
"246",2015,"TRM","15E","FORB","No Variability",91.16,44.1,203.12
"247",2015,"TRM","15E","WSPG","No Variability",705.98,17.12,434.65
"248",2015,"TRM","15E","WSPG","Spatial Variability",705.98,17.12,464.55
"249",2015,"TRM","17N","CSAG","Spatial Variability",39.87,111.39,10.67
"250",2015,"TRM","17N","CSAG","No Variability",39.87,111.39,8.41
"251",2015,"TRM","17N","CSPG","No Variability",1107.36,71.44,537.98
"252",2015,"TRM","17N","CSPG","Spatial Variability",1107.36,71.44,756.49
"253",2015,"TRM","17N","FORB","No Variability",101.29,50.18,91.85
"254",2015,"TRM","17N","FORB","Spatial Variability",101.29,50.18,136.17
"255",2015,"TRM","17N","WSPG","Spatial Variability",782.6,38.31,385.67
"256",2015,"TRM","17N","WSPG","No Variability",782.6,38.31,360.66
"257",2015,"TRM","19N","CSAG","No Variability",43.69,71.88,0.4
"258",2015,"TRM","19N","CSAG","Spatial Variability",43.69,71.88,0.27
"259",2015,"TRM","19N","CSPG","No Variability",887.32,56.62,1101.14
"260",2015,"TRM","19N","CSPG","Spatial Variability",887.32,56.62,791.72
"261",2015,"TRM","19N","FORB","Spatial Variability",38.52,71.43,208.27
"262",2015,"TRM","19N","FORB","No Variability",38.52,71.43,156.65
"263",2015,"TRM","19N","WSPG","No Variability",584.82,50.76,297.81
"264",2015,"TRM","19N","WSPG","Spatial Variability",584.82,50.76,273.61
